Date,SYMBOL,CLOSE,ML_Prob,Signal,Reason
2025-09-25,PAEL,54.37,0.5118518794544082,HOLD,
2025-09-26,PAEL,54.93,0.5230417165378306,HOLD,
2025-09-29,PAEL,55.08,0.519929668624101,HOLD,
2025-09-30,PAEL,56.68,0.5413507806532895,HOLD,
2025-10-01,PAEL,59.31,0.5472941966806237,HOLD,
2025-10-02,PAEL,59.93,0.5532968960737096,HOLD,
2025-10-03,PAEL,59.3,0.5525828864807845,HOLD,
2025-10-06,PAEL,58.26,0.5249971198027715,HOLD,
2025-10-07,PAEL,56.18,0.5098557760337112,HOLD,
2025-10-08,PAEL,54.87,0.4893383898611986,HOLD,
2025-10-09,PAEL,55.12,0.4923714293217899,HOLD,
2025-10-10,PAEL,53.8,0.503712041081147,HOLD,
2025-10-13,PAEL,52.38,0.5199226780763992,HOLD,
2025-10-14,PAEL,57.16,0.5131423350605814,HOLD,
2025-10-15,PAEL,56.16,0.49611959712843734,HOLD,
2025-10-16,PAEL,55.39,0.47213221284312,HOLD,
2025-10-17,PAEL,55.33,0.47223065773782236,HOLD,
2025-10-20,PAEL,57.55,0.5110917466461887,HOLD,
2025-10-21,PAEL,57.09,0.4997361724162864,HOLD,
2025-10-22,PAEL,56.76,0.4694611043714045,HOLD,
2025-10-23,PAEL,55.27,0.47304036044313635,HOLD,
2025-10-24,PAEL,54.6,0.47476846655968413,HOLD,
2025-10-28,PAEL,51.42,0.5793012726633048,HOLD,
2025-10-29,PAEL,47.94,0.6290583821765035,HOLD,
2025-10-31,PAEL,48.57,0.6306804921356705,HOLD,
2025-11-03,PAEL,53.6,0.4997513374493135,HOLD,
2025-11-04,PAEL,52.82,0.5024665202210293,HOLD,
2025-11-05,PAEL,54.06,0.49850861652929823,HOLD,
2025-11-06,PAEL,54.14,0.4977922519358926,HOLD,
2025-11-07,PAEL,53.93,0.49716368482624956,HOLD,
2025-11-10,PAEL,54.72,0.4978576598113243,HOLD,
2025-11-11,PAEL,51.75,0.5306055311860465,HOLD,
2025-11-12,PAEL,52.43,0.5021968933340575,HOLD,
2025-11-13,PAEL,52.56,0.4892171857391203,HOLD,
2025-11-14,PAEL,53.02,0.48102305725777894,HOLD,
2025-11-17,PAEL,53.26,0.4944543257643747,HOLD,
2025-11-18,PAEL,52.97,0.4793130093662738,HOLD,
2025-11-19,PAEL,53.1,0.49999973759332905,HOLD,
2025-11-21,PAEL,51.97,0.4896738166896818,HOLD,
2025-11-24,PAEL,52.21,0.4776848633788732,HOLD,
2025-11-25,PAEL,52.01,0.47983225335186525,HOLD,
2025-11-26,PAEL,52.03,0.4752939392734893,HOLD,
2025-11-27,PAEL,52.18,0.4630550979865641,HOLD,
2025-11-28,PAEL,53.09,0.48492134654345315,HOLD,
2025-12-01,PAEL,53.87,0.47768912104167527,HOLD,
2025-12-03,PAEL,53.47,0.4686829210346762,HOLD,
2025-12-04,PAEL,53.18,0.46665905531970236,HOLD,
2025-12-05,PAEL,53.05,0.4674224628203922,HOLD,
